Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [12][180/206]	Time (s):  0.993	Loss: -0.6738
Epoch: [12][190/206]	Time (s):  0.991	Loss: -0.8162
Epoch: [12][200/206]	Time (s):  0.991	Loss: -0.7915
Epoch: [13][  0/206]	Time (s): 21.006	Loss: -0.7624
Epoch: [13][ 10/206]	Time (s):  0.991	Loss: -0.8216
Epoch: [13][ 20/206]	Time (s):  0.990	Loss: -0.8159
Epoch: [13][ 30/206]	Time (s):  0.992	Loss: -0.8601
Epoch: [13][ 40/206]	Time (s):  0.999	Loss: -0.8396
Epoch: [13][ 50/206]	Time (s):  0.989	Loss: -0.8117
Epoch: [13][ 60/206]	Time (s):  0.994	Loss: -0.7963
Epoch: [13][ 70/206]	Time (s):  0.992	Loss: -0.7583
Epoch: [13][ 80/206]	Time (s):  0.995	Loss: -0.7289
Epoch: [13][ 90/206]	Time (s):  0.993	Loss: -0.6673
Epoch: [13][100/206]	Time (s):  0.990	Loss: -0.6774
Epoch: [13][110/206]	Time (s):  0.996	Loss: -0.7781
Epoch: [13][120/206]	Time (s):  0.992	Loss: -0.7781
Epoch: [13][130/206]	Time (s):  0.995	Loss: -0.7173
Epoch: [13][140/206]	Time (s):  0.993	Loss: -0.8236
Epoch: [13][150/206]	Time (s):  0.990	Loss: -0.8618
Epoch: [13][160/206]	Time (s):  0.996	Loss: -0.7082
Epoch: [13][170/206]	Time (s):  0.989	Loss: -0.7848
Epoch: [13][180/206]	Time (s):  0.992	Loss: -0.6613
Epoch: [13][190/206]	Time (s):  0.988	Loss: -0.7318
Epoch: [13][200/206]	Time (s):  0.992	Loss: -0.6673
Epoch: [14][  0/206]	Time (s): 21.018	Loss: -0.6976
Epoch: [14][ 10/206]	Time (s):  0.985	Loss: -0.6329
Epoch: [14][ 20/206]	Time (s):  0.995	Loss: -0.8936
Epoch: [14][ 30/206]	Time (s):  0.987	Loss: -0.7644
Epoch: [14][ 40/206]	Time (s):  0.996	Loss: -0.8091
Epoch: [14][ 50/206]	Time (s):  0.983	Loss: -0.8232
Epoch: [14][ 60/206]	Time (s):  0.988	Loss: -0.7276
Epoch: [14][ 70/206]	Time (s):  1.000	Loss: -0.6630
Epoch: [14][ 80/206]	Time (s):  0.991	Loss: -0.8188
Epoch: [14][ 90/206]	Time (s):  0.990	Loss: -0.8082
Epoch: [14][100/206]	Time (s):  0.995	Loss: -0.6832
Epoch: [14][110/206]	Time (s):  0.991	Loss: -0.6900
Epoch: [14][120/206]	Time (s):  0.991	Loss: -0.8280
Epoch: [14][130/206]	Time (s):  0.992	Loss: -0.7659
Epoch: [14][140/206]	Time (s):  0.992	Loss: -0.7879
Epoch: [14][150/206]	Time (s):  0.995	Loss: -0.6917
Epoch: [14][160/206]	Time (s):  0.992	Loss: -0.8204
Epoch: [14][170/206]	Time (s):  1.003	Loss: -0.7167
Epoch: [14][180/206]	Time (s):  0.979	Loss: -0.7209
Epoch: [14][190/206]	Time (s):  0.991	Loss: -0.6879
Epoch: [14][200/206]	Time (s):  0.990	Loss: -0.8026
Checkpoint 14 saved.
Epoch: [15][  0/206]	Time (s): 22.527	Loss: -0.7662
Epoch: [15][ 10/206]	Time (s):  0.993	Loss: -0.8326
Epoch: [15][ 20/206]	Time (s):  0.990	Loss: -0.7668
Epoch: [15][ 30/206]	Time (s):  0.990	Loss: -0.7506
Epoch: [15][ 40/206]	Time (s):  0.994	Loss: -0.7695
Epoch: [15][ 50/206]	Time (s):  0.988	Loss: -0.7603
Epoch: [15][ 60/206]	Time (s):  0.989	Loss: -0.6669
Epoch: [15][ 70/206]	Time (s):  0.993	Loss: -0.6293
Epoch: [15][ 80/206]	Time (s):  0.994	Loss: -0.7636
Epoch: [15][ 90/206]	Time (s):  0.988	Loss: -0.7378
Epoch: [15][100/206]	Time (s):  0.994	Loss: -0.8549
Epoch: [15][110/206]	Time (s):  0.992	Loss: -0.7807
Epoch: [15][120/206]	Time (s):  0.993	Loss: -0.7592
