Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'efficientnet_v2_s'
Epoch: [32][60/78]	Time (s):  5.155	Loss: -0.8866
Epoch: [32][70/78]	Time (s):  5.085	Loss: -0.8989
Epoch: [33][ 0/78]	Time (s): 13.423	Loss: -0.8919
Epoch: [33][10/78]	Time (s):  4.945	Loss: -0.9098
Epoch: [33][20/78]	Time (s):  5.458	Loss: -0.9051
Epoch: [33][30/78]	Time (s):  5.589	Loss: -0.9139
Epoch: [33][40/78]	Time (s):  6.741	Loss: -0.8957
Epoch: [33][50/78]	Time (s):  5.613	Loss: -0.8790
Epoch: [33][60/78]	Time (s):  5.490	Loss: -0.9072
Epoch: [33][70/78]	Time (s):  5.285	Loss: -0.8997
Epoch: [34][ 0/78]	Time (s): 17.059	Loss: -0.8730
Epoch: [34][10/78]	Time (s):  4.323	Loss: -0.9023
Epoch: [34][20/78]	Time (s):  4.780	Loss: -0.8843
Epoch: [34][30/78]	Time (s):  6.519	Loss: -0.9102
Epoch: [34][40/78]	Time (s):  5.481	Loss: -0.9121
Epoch: [34][50/78]	Time (s):  5.337	Loss: -0.9061
Epoch: [34][60/78]	Time (s):  5.314	Loss: -0.9015
Epoch: [34][70/78]	Time (s):  4.874	Loss: -0.9095
Checkpoint 34 saved.

Unsupervised training of SimSiam network complete.
Total elapsed time: 2.0 hrs, 32 mins and 33 secs.
